pc,delta_in,type,delta_out
140443297333457,4411168,2,104
140443297333457,104,2,-4411144
140443297333465,-4411144,1,128
140443297333465,128,1,4411192
140443297333457,4411192,2,-4411064
140443297333465,-4411064,1,-4106824
140443297353648,-4106824,1,25097288
140443297363712,25097288,0,312
140443297364024,312,0,111
140443297364135,111,0,1477
140443297365612,1477,0,1231
140443297366843,1231,0,5
140443297366848,5,0,-2688
140443297364160,-2688,0,1344
140443297365504,1344,0,-18845251
140443297431843,-18845251,1,18907523
140443297427776,18907523,0,-2240
140443297425536,-2240,0,3264
140443297428800,3264,0,64
140443297428864,64,0,-448
140443297428416,-448,0,64
140443297428480,64,0,64
140443297428544,64,0,-64512
140443297364032,-64512,0,67904
140443297431936,67904,0,224
140443297432160,224,0,-4064
140443297428096,-4064,0,-16642944
140443297433735,-16642944,2,-8423334
140443297431843,-8423334,1,25064678
140443297426496,25064678,0,-61248
140443297365248,-61248,0,2203344
140443297365248,2203344,1,-2202960
140443297365632,-2202960,0,-1408
140443297364224,-1408,0,1088
140443297365312,1088,0,-1015
140443297364297,-1015,0,55
140443297364352,55,0,-16579072
140443297364391,-16579072,2,16579136
140443297364416,16579136,0,332
140443297364748,332,0,37316
140443297402064,37316,0,48
140443297402112,48,0,64
140443297402176,64,0,32192
140443297434368,32192,0,-32128
140443297402240,-32128,0,64
140443297402304,64,0,256
140443297402560,256,0,-40
140443297402520,-40,0,273
140443297402793,273,0,-37993
140443297364800,-37993,0,75
140443297364875,75,0,53
140443297364928,53,0,-44224
140443297320704,-44224,0,64
140443297320768,64,0,2957
140443297323725,2957,0,51
140443297323776,51,0,64
140443297323840,64,0,832
140443297324672,832,0,-3770
140443297320902,-3770,0,58
140443297320960,58,0,97600
140443297418560,97600,0,-106208
140443297312352,-106208,0,66240
140443297378592,66240,0,32
140443297378624,32,0,-1952
140443297376672,-1952,0,32
140443297376704,32,0,64
140443297376768,64,0,-68045456
140443297376787,-68045456,1,68045520
140443297376832,68045520,0,64
140443297376896,64,0,64
140443297376960,64,0,64
140443297377024,64,0,-20976056
140443297377080,-20976056,1,20976120
140443297377088,20976120,0,240
140443297377328,240,0,16
140443297377344,16,0,-68050896
140443297427144,-68050896,1,68100752
140443297427200,68100752,0,64
140443297427264,64,0,-49856
140443297377408,-49856,0,-18853576
140443297377080,-18853576,1,72
140443297377110,72,1,128
140443297377125,128,1,144
140443297377125,144,1,116
140443297377110,116,1,128
140443297377125,128,1,-1455
140443297424298,-1455,1,-49191569
140443297376944,-49191569,1,43035436
140443297377080,43035436,1,92
140443297377125,92,1,116
140443297377100,116,1,136
140443297377125,136,1,124
140443297377110,124,1,-5310
140443297424298,-5310,1,5438
140443297377125,5438,1,-5476
140443297428740,-5476,1,-43035424
140443297428842,-43035424,1,68102592
140443297429120,68102592,0,64
140443297429184,64,0,-1344
140443297427840,-1344,0,64
140443297427904,64,0,-50094
140443297377810,-50094,0,89
140443297377899,89,0,91
140443297377990,91,0,58
140443297378048,58,0,64
140443297378112,64,0,-16592532
140443297378129,-16592532,2,-144
140443297378129,-144,2,16592740
140443297378176,16592740,0,-256
140443297377920,-256,0,768
140443297378688,768,0,-410
140443297378278,-410,0,26
140443297378304,26,0,-16592632
140443297378232,-16592632,2,-2260864
140443297376787,-2260864,1,-1560
140443297425224,-1560,1,18902992
140443297426240,18902992,0,64
140443297426304,64,0,-18902976
140443297427887,-18902976,1,1232
140443297377875,1232,1,120
140443297377889,120,1,2261844
140443297378129,2261844,2,-36
140443297378142,-36,2,-60
140443297378129,-60,2,-628
140443297378232,-628,2,120
140443297378232,120,2,128
140443297378238,128,2,136
140443297378232,136,2,120
140443297378232,120,2,-4385168
140443297376787,-4385168,1,20905832
140443297377080,20905832,1,108
140443297377110,108,1,-24939524
140443297377110,-24939524,1,128
140443297377125,128,1,144
140443297377125,144,1,-5680
140443297424298,-5680,1,25064672
140443297426816,25064672,0,64
140443297426880,64,0,64
140443297426944,64,0,-21025724
140443297376944,-21025724,1,21026940
140443297428160,21026940,0,64
140443297428224,64,0,-16641452
140443297378129,-16641452,2,-24
140443297378129,-24,2,-124
140443297378232,-124,2,916
140443297378129,916,2,-24
140443297378129,-24,2,-628
140443297378232,-628,2,120
140443297378232,120,2,128
140443297378238,128,2,136
140443297378232,136,2,120
140443297378232,120,2,264
140443297378232,264,2,16520776
140443297308432,16520776,0,48
140443297308480,48,0,2257328
140443297308479,2257328,1,-2257262
140443297308546,-2257262,0,80
140443297308626,80,0,73518
140443297382144,73518,0,64
140443297382208,64,0,102
140443297382310,102,0,26
140443297382336,26,0,80
140443297382416,80,0,48
140443297382464,48,0,160
140443297382624,160,0,32
140443297382656,32,0,-25127360
140443297382700,-25127360,2,2296
140443297382707,2296,2,25125128
140443297382720,25125128,0,-25127296
140443297382734,-25127296,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,128
140443297382734,128,2,208
140443297382769,208,2,25125104
140443297382784,25125104,0,-74106
140443297308678,-74106,0,75
140443297308753,75,0,12271
140443297321024,12271,0,2249640
140443297321072,2249640,1,-2248152
140443297322512,-2248152,0,48
140443297322560,48,0,-928
140443297321632,-928,0,32
140443297321664,32,0,208
140443297321872,208,0,-144
140443297321728,-144,0,33952
140443297355680,33952,0,32
140443297355712,32,0,64
140443297355776,64,0,64
140443297355840,64,0,3312
140443297359152,3312,0,-20985128
140443297359160,-20985128,1,20985144
140443297359168,20985144,0,64
140443297359232,64,0,-2256
140443297356976,-2256,0,-16572472
140443297356976,-16572472,1,16571400
140443297355904,16571400,0,64
140443297355968,64,0,64
140443297356032,64,0,64
140443297356096,64,0,64
140443297356160,64,0,2472
140443297358632,2472,0,39
140443297358671,39,0,-20999471
140443297358662,-20999471,2,-3991256
140443297358671,-3991256,1,120
140443297358671,120,1,128
140443297358648,128,1,3991104
140443297358662,3991104,2,-3990968
