pc,delta_in,type,delta_out
139859331977536,68142871,0,-13568
139859331963968,-13568,0,872734314792
139859331963983,872734314792,2,40
139859331963988,40,2,-872734314768
139859331964032,-872734314768,0,5184
139859331969216,5184,0,872734309632
139859331969245,872734309632,2,-872734309568
139859331969280,-872734309568,0,-60880
139859331908400,-60880,0,16
139859331908416,16,0,-21744
139859331886672,-21744,0,872734392040
139859331886674,872734392040,2,-992
139859331886692,-992,2,-872732164088
139859331886706,-872732164088,1,-2226912
139859331886720,-2226912,0,64
139859331886784,64,0,34960
139859331921744,34960,0,872734355944
139859331921745,872734355944,2,-872734355871
139859331921817,-872734355871,0,52903
139859331974720,52903,0,-87872
139859331886848,-87872,0,96
139859331886944,96,0,32
139859331886976,32,0,872734390831
139859331886994,872734390831,2,-872734390351
139859331887456,-872734390351,0,32
139859331887488,32,0,1234
139859331888722,1234,0,46
139859331888768,46,0,92
139859331888860,92,0,100
139859331888960,100,0,-595
139859331888365,-595,0,19
139859331888384,19,0,103
139859331888487,103,0,849
139859331889336,849,0,8
139859331889344,8,0,-1751
139859331887593,-1751,0,448
139859331888041,448,0,23
139859331888064,23,0,60656
139859331948720,60656,0,16
139859331948736,16,0,2166776
139859331948753,2166776,1,-2166024
139859331949488,-2166024,0,16
139859331949504,16,0,872734328056
139859331949507,872734328056,2,-872734356472
139859331921088,-872734356472,0,872734356280
139859331921121,872734356280,2,-872734309144
139859331968224,-872734309144,0,32
139859331968256,32,0,-160
139859331968096,-160,0,-46944
139859331921152,-46944,0,872734356272
139859331921151,872734356272,1,-872734356208
139859331921216,-872734356208,0,47600
139859331968816,47600,0,16
139859331968832,16,0,104
139859331968936,104,0,-16633768
139859331949552,-16633768,1,16614400
139859331949568,16614400,0,64
139859331949632,64,0,-16575656
139859331949654,-16575656,1,16577531
139859331951507,16577531,0,-2707
139859331948800,-2707,0,872734328816
139859331948823,872734328816,2,-872734328752
139859331948864,-872734328752,0,64
139859331948928,64,0,64
139859331948992,64,0,-16536212
139859331949003,-16536212,1,16536290
139859331949070,16536290,0,-590
139859331948480,-590,0,-16374495
139859331948483,-16374495,1,-180597
139859331949061,-180597,1,127322
139859331948483,127322,1,-117626
139859331949061,-117626,1,144860
139859331948483,144860,1,-149708
139859331949061,-149708,1,137958
139859331948483,137958,1,-140382
139859331949061,-140382,1,134394
139859331948483,134394,1,-133194
139859331949061,-133194,1,136053
139859331948483,136053,1,-135453
139859331949061,-135453,1,137135
139859331948483,137135,1,-136823
139859331949061,-136823,1,137576
139859331948483,137576,1,-137432
139859331949061,-137432,1,137768
139859331948483,137768,1,16412716
139859331948552,16412716,0,70
139859331948622,70,0,498
139859331949120,498,0,91
139859331949211,91,0,-16413429
139859331948483,-16413429,1,16413466
139859331949248,16413466,0,1456
139859331950704,1456,0,16
139859331950720,16,0,456
139859331951176,456,0,77
139859331951253,77,0,-16553173
139859331951269,-16553173,1,16553216
139859331951296,16553216,0,-1020
139859331950276,-1020,0,27884
139859331978160,27884,0,16
139859331978176,16,0,80
139859331978256,80,0,-16442384
139859331978272,-16442384,1,16442480
139859331978352,16442480,0,16
139859331978368,16,0,-28032
139859331950336,-28032,0,872734327160
139859331950354,872734327160,2,-872734297932
139859331979564,-872734297932,0,20
139859331979584,20,0,-9728
139859331969856,-9728,0,-81728
139859331888128,-81728,0,-14368
139859331873760,-14368,0,32
139859331873792,32,0,64
139859331873856,64,0,872734403968
139859331873859,872734403968,2,-872734309360
139859331968464,-872734309360,0,-94544
139859331873920,-94544,0,124064
139859331873925,124064,1,-123928
139859331874056,-123928,0,56
139859331874112,56,0,872734403776
139859331874144,872734403776,1,-872734403712
139859331874176,-872734403712,0,64
139859331874240,64,0,872734403712
139859331874236,872734403712,1,112
139859331874236,112,1,32
139859331874243,32,1,-872734403792
139859331874304,-872734403792,0,872734403984
139859331874320,872734403984,1,-872734403424
139859331874864,-872734403424,0,16
139859331874880,16,0,120
139859331875000,120,0,8
139859331875008,8,0,872734403168
139859331874236,872734403168,1,56
139859331874236,56,1,-872734403666
139859331874566,-872734403666,0,13126
139859331887692,13126,0,-565
139859331887127,-565,0,41
139859331887168,41,0,-10272
139859331876896,-10272,0,32
139859331876928,32,0,42560
139859331919488,42560,0,-42496
139859331876992,-42496,0,77
139859331877069,77,0,2237627
139859331877078,2237627,1,-2237488
139859331877208,-2237488,0,40
139859331877248,40,0,64
139859331877312,64,0,872734399992
139859331899625,872734399992,2,-80
139859331899660,-80,2,-872734315044
139859331962180,-872734315044,0,872734314996
139859331968833,872734314996,2,-872750950160
139859331899751,-872750950160,2,672
139859331899771,672,2,462
139859331979439,462,2,-30
139859331899813,-30,2,-356
139859331899843,-356,1,184
139859331900240,184,2,-84
139859331899950,-84,2,8
139859331899965,8,2,18791040
139859331978088,18791040,1,-2218816
139859331900096,-2218816,0,384
139859331900480,384,0,-108
139859331900372,-108,0,-16572180
139859331979588,-16572180,2,-536
139859331877344,-536,2,16549720
139859331877376,16549720,0,64
139859331877440,64,0,64
139859331877504,64,0,109
139859331877613,109,0,19
139859331877632,19,0,112
139859331877744,112,0,16
139859331877760,16,0,64
139859331877824,64,0,872734399168
139859331877822,872734399168,2,-872734399095
139859331877897,-872734399095,0,872734399159
139859331877841,872734399159,2,-872734398928
139859331878128,-872734398928,0,16
139859331878144,16,0,64
139859331878208,64,0,64
139859331878272,64,0,872734398712
139859331878285,872734398712,2,-872734398648
139859331878336,-872734398648,0,400
139859331878736,400,0,90320
139859331969056,90320,0,-90272
139859331878784,-90272,0,64
139859331878848,64,0,-448
139859331878400,-448,0,64
139859331878464,64,0,72
139859331878536,72,0,56
139859331878592,56,0,101312
139859331979904,101312,0,-16656208
139859331979935,-16656208,2,2016
139859331979943,2016,2,-2000
139859331979949,-2000,2,16656256
139859331979968,16656256,0,-16654288
139859331979965,-16654288,2,-1904
139859331979994,-1904,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,16553088
139859331878656,16553088,0,352
139859331879008,352,0,32
139859331879040,32,0,-16557368
139859331879047,-16557368,1,16557432
139859331879104,16557432,0,-16552056
139859331879121,-16552056,2,104
139859331879121,104,2,-5416
139859331879129,-5416,1,5504
139859331879121,5504,2,-5440
139859331879129,-5440,1,16557368
139859331879168,16557368,0,956
139859331880124,956,0,4
139859331880128,4,0,-16558264
139859331879129,-16558264,1,5336
139859331879121,5336,2,-5272
139859331879129,-5272,1,64
139859331879129,64,1,5344
139859331879121,5344,2,-5280
139859331879129,-5280,1,5376
139859331879121,5376,2,-72
139859331879121,-72,2,-5240
139859331879129,-5240,1,16557272
139859331879392,16557272,0,32
139859331879424,32,0,64
139859331879488,64,0,64
139859331879552,64,0,883
139859331880435,883,0,-819
139859331879616,-819,0,70
139859331879686,70,0,58
139859331879744,58,0,-16551720
139859331879751,-16551720,1,16551784
139859331879808,16551784,0,-18821520
139859331899312,-18821520,1,18821584
139859331879872,18821584,0,64
139859331879936,64,0,84160
139859331964096,84160,0,-54848
139859331909248,-54848,0,-68074446
139859331977507,-68074446,1,14
139859331977507,14,1,872802443832
139859331886678,872802443832,2,-872734304248
139859331974400,-872734304248,0,-1280
139859331973120,-1280,0,10556
139859331970065,10556,1,-11836
139859331971840,-11836,0,-960
139859331970880,-960,0,-18902640
139859331970888,-18902640,1,18902704
139859331970944,18902704,0,64
139859331971008,64,0,-16538836
139859331949061,-16538836,1,191461
139859331948483,191461,1,-181765
139859331949061,-181765,1,208615
139859331948483,208615,1,-213463
139859331949061,-213463,1,199940
139859331948483,199940,1,-202364
139859331949061,-202364,1,195049
139859331948483,195049,1,-196273
139859331949061,-196273,1,193217
139859331948483,193217,1,-192617
139859331949061,-192617,1,194061
139859331948483,194061,1,-194373
139859331949061,-194373,1,193528
139859331948483,193528,1,-193672
139859331949061,-193672,1,193453
139859331948483,193453,1,-74
139859331948483,-74,1,-193355
139859331951214,-193355,1,193468
139859331948523,193468,1,16247360
139859331874368,16247360,0,-16546072
139859331899751,-16546072,2,672
139859331899771,672,2,459
139859331979439,459,2,-27
139859331899813,-27,2,-356
139859331899843,-356,1,184
139859331900240,184,2,-84
139859331899950,-84,2,8
139859331899965,8,2,320
139859331979588,320,2,-536
139859331877344,-536,2,872750947984
139859331968833,872750947984,2,-872753223088
139859331979935,-872753223088,2,120
139859331979943,120,2,-16
139859331979954,-16,2,-864
139859331879047,-864,1,2275256
139859331879121,2275256,2,104
139859331879121,104,2,-2275312
139859331879129,-2275312,1,2275400
139859331879121,2275400,2,-2275336
139859331879129,-2275336,1,64
139859331879129,64,1,64
139859331879129,64,1,2275168
139859331879121,2275168,2,-2275104
139859331879129,-2275104,1,2275240
139859331879121,2275240,2,-2275176
139859331879129,-2275176,1,2275272
139859331879121,2275272,2,-2275208
139859331879129,-2275208,1,2275136
139859331879121,2275136,2,16552240
139859331880880,16552240,0,-16551576
139859331879751,-16551576,1,-4384520
139859331899312,-4384520,1,872755334168
139859331909275,872755334168,2,-368
139859331886681,-368,2,-872755332110
139859331969962,-872755332110,1,4492970
139859331949061,4492970,1,203283
139859331948483,203283,1,-204507
139859331949061,-204507,1,201634
139859331948483,201634,1,-201034
139859331949061,-201034,1,202468
139859331948483,202468,1,-202156
139859331949061,-202156,1,202994
139859331948483,202994,1,-56
139859331948483,-56,1,-202902
139859331951269,-202902,1,203008
139859331978054,203008,1,16232536
139859331874712,16232536,0,106696
139859331874712,106696,1,872734296952
139859331874320,872734296952,1,40
139859331874320,40,1,-872750948840
139859331899751,-872750948840,2,672
139859331899771,672,2,458
139859331979439,458,2,-26
139859331899813,-26,2,-356
139859331899843,-356,1,184
139859331900240,184,2,-244
139859331899879,-244,2,160
139859331899950,160,2,16547544
139859331877952,16547544,0,872734398800
139859331877822,872734398800,2,48
139859331877822,48,2,-872750946216
139859331877982,-872750946216,2,16547432
139859331878016,16547432,0,49424
139859331927440,49424,0,872734349288
139859331968833,872734349288,2,-872755350808
139859331979935,-872755350808,2,1936
139859331979943,1936,2,-1904
139859331979960,-1904,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,64
139859331979994,64,2,-9216
139859331879047,-9216,1,4411168
139859331879121,4411168,2,88
139859331879121,88,2,-4411192
139859331879129,-4411192,1,4411208
139859331879121,4411208,2,-184
139859331879121,-184,2,-4410960
139859331879129,-4410960,1,64
139859331879129,64,1,64
139859331879129,64,1,4411096
139859331879121,4411096,2,-4411032
139859331879129,-4411032,1,4411128
139859331879121,4411128,2,-4411064
139859331879129,-4411064,1,4411592
139859331879577,4411592,2,-8518416
139859331899312,-8518416,1,8
139859331899320,8,1,25097280
139859331909376,25097280,0,312
139859331909688,312,0,111
139859331909799,111,0,1477
139859331911276,1477,0,1231
139859331912507,1231,0,5
139859331912512,5,0,-2688
139859331909824,-2688,0,1344
139859331911168,1344,0,-18845251
139859331977507,-18845251,1,3
139859331977507,3,1,18907520
139859331973440,18907520,0,-2240
139859331971200,-2240,0,3264
139859331974464,3264,0,64
139859331974528,64,0,-448
139859331974080,-448,0,64
139859331974144,64,0,64
139859331974208,64,0,-64512
139859331909696,-64512,0,-16578944
139859331979399,-16578944,2,-4384256
139859331977585,-4384256,1,21031104
139859331977600,21031104,0,224
139859331977824,224,0,-4064
139859331973760,-4064,0,-16642944
139859331979399,-16642944,2,-8423334
139859331977507,-8423334,1,38
139859331977585,38,1,25064640
139859331972160,25064640,0,-16641280
139859331979399,-16641280,2,16580032
139859331910912,16580032,0,2203344
139859331910912,2203344,1,-2202960
139859331911296,-2202960,0,-1408
139859331909888,-1408,0,1088
139859331910976,1088,0,-1015
139859331909961,-1015,0,55
139859331910016,55,0,-16579072
139859331910055,-16579072,2,16579136
139859331910080,16579136,0,332
139859331910412,332,0,37316
139859331947728,37316,0,872734330792
139859331947736,872734330792,2,-872734330744
139859331947776,-872734330744,0,64
139859331947840,64,0,32192
139859331980032,32192,0,-32128
139859331947904,-32128,0,64
139859331947968,64,0,256
139859331948224,256,0,-40
139859331948184,-40,0,273
139859331948457,273,0,-37993
139859331910464,-37993,0,75
139859331910539,75,0,53
139859331910592,53,0,-44224
139859331866368,-44224,0,64
139859331866432,64,0,2957
139859331869389,2957,0,51
139859331869440,51,0,64
139859331869504,64,0,832
139859331870336,832,0,-3770
139859331866566,-3770,0,58
139859331866624,58,0,97600
139859331964224,97600,0,-106208
139859331858016,-106208,0,66240
139859331924256,66240,0,32
139859331924288,32,0,-1952
139859331922336,-1952,0,32
139859331922368,32,0,64
139859331922432,64,0,-68045456
